Codigo,Nombre,Tipo,Estado,CodigoOrganismoPublico,NombreOrganismoPublico,FechaCreacion,FechaCierre,CodigoProveedorConsultado,FechaConsulta
1413-139-AG26, DIRREG LOS LAGOS REQUIERE ADQUIRIR GIF CARD DE ALIMENTACIÓN PROGRAMAS LICO Y PROGRAMA PAÍS. 1413-25-COT26,4,27693,2026-03-02
1622-288-CM26,BENEFICIO DE ALIMENTACIÓN FEBRERO 2026,6,27693,2026-03-02
2568-60-CM26,Orden de Compra: 2568-60-CM26,4,27693,2026-03-02
3413-3-CM26,"ADQUISICIÓN DE TARJETA DE ALIMENTACIÓN PARA LA COMPRA DE VIVERES EN SUPERMERCADO, SIN DESCUENTOS ADICIONALES NI BONIFICACIONES, PARA EL CASINO GUARNICIONAL HUAYQUIQUE",4,27693,2026-03-02
4100-11-CM26,"ADQUISICIÓN RECARGAS ALIMENTACION FISCAL MES DE FEBRERO, PARA LA SECRET. GRAL. Y UNIDADES DEPENDIENTES.",12,27693,2026-03-02
651-30-CM26,tarjetas de vestuario estamento auxiliar ,4,27693,2026-03-02
697202-120-CM25,ADQUISICIÓN DE VESTUARIO Y CALZADO,12,27693,2026-03-02
952946-21-CM26,ADQUISICIÓN DE TARJETA DE SUPERMERCADO,6,27693,2026-03-02
1079659-64-CM26,RANCHO FISCAL MES DE FEBRERO AÑO 2026,12,27693,2026-03-03
5052-147-SE26,CM/2201001002/TARJETAS DE ALIMENTACIÓN GRAN COMPRA/ENERO,12,27693,2026-03-03
1079659-64-CM26,RANCHO FISCAL MES DE FEBRERO AÑO 2026,12,27693,2026-03-03
1099402-96-CM26,OC DESDE 1099402-96-CM26 ALIMENTACIÓN MZ-26,12,27693,2026-03-03
1643-477-CM26,COLACIONES PERSONAL TURNO NOCHE ENERO 2026,12,27693,2026-03-03
2200-437-CM25, TARJETAS DE ALIMENTACIÓN PARA FUNCIONARIOS DE LA DIRECCIÓN DEL SSA - DDP Orden de Compra  generada por la Gran Compra: 79386 (REEMPLAZA OC 2200-419-CM25),12,27693,2026-03-03
2430-41-CM26,Orden de Compra: 2430-41-CM26,4,27693,2026-03-03
